uuid,Source EN,Fallback EN
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,contact_name,contact_email
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,contact_name,contact_email
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,contact_email,contact_name
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,experience,career
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,functiongroup,title
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,education,title
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,zip,location
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,contract,
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,hours,
dca11c61-a56f-5ee2-b5bc-a9c6f6197159,upsell,
064c3e20-3663-52d6-a9d9-3394d65cd6e7,contact_company,employer
064c3e20-3663-52d6-a9d9-3394d65cd6e7,education,title
064c3e20-3663-52d6-a9d9-3394d65cd6e7,country,location
064c3e20-3663-52d6-a9d9-3394d65cd6e7,zip,location
064c3e20-3663-52d6-a9d9-3394d65cd6e7,location,zip
064c3e20-3663-52d6-a9d9-3394d65cd6e7,jobtype,hours
064c3e20-3663-52d6-a9d9-3394d65cd6e7,career,
