Uuid__c,Status_desq__c,Remarks__c
84ce5b37-70fb-5457-b44c-f78a367a4268,Active,13-10-2020 RVR: Blacklisted because this channel only accepts payment by credicard over the phone.
9e11b5f1-bb07-5637-ac90-6ab4698b63e4,Active,"23032020 LT: RC $495,-; Purchase Price $420,75"
17d8c14f-ff10-56ba-b540-7e289fee562c,Active,Monster has stopped the collaboration with Alma Media.
d5037371-cdae-5468-a0ea-65637ed6eb35,Active,"19032020 LT: RC $299,-; Purchase Price $254,15"
3fcedd39-045c-5078-a411-0a860504d07c,Active,"23032020 LT: $180,- : Purchase Price: $153,-"
b72a4fc7-4a50-5f54-9c6f-2d64c14a898c,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
ffed09dd-354e-564b-82e4-afafa069ec8d,Active,Duplicate: 01t08000008qgxEAAQ
233ab2f2-8f3d-57ea-8fba-dc71f564f9a6,Active,"17062021LR: BL - Restructured social products, removed third 30-day product"
04772a9f-824d-56f9-a529-eb0960775347,Active,"22062021LR: Decreased budget by 5% (pitstop project)

RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product."
abdc5f48-13e7-5d50-8604-6648ec92aae6,Active,"22062021LR: Decreased budget by 5% (pitstop project)

RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product."
020e43cd-2821-5ffe-943f-a1b1696e47f2,Active,"22062021LR: Decreased budget by 5% (pitstop project)

RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product."
ba1f95fe-f6fe-5dee-817e-1e66e3f80e32,Active,"20032020 LT: RC $425,-; Purchase Price: $361,25"
61cc53a4-a793-5b0a-abd2-f38a73c2982b,Active,"12-03-21 Blacklist

Duplicate: https://vonq.lightning.force.com/lightning/r/Product2/01t0Y000009DsT6QAK/view"
c6114fe7-9a65-5865-a206-3abe0b329c53,Active,My Channel
782cc450-e824-55ac-88bf-f88b42979b57,Active,"22062021LR: Decreased budget by 5% (pitstop project)

RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product."
62805c2c-0386-5484-9721-79fffa95aed1,Active,"22062021LR: Decreased budget by 5% (pitstop project)

RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product."
fd017d3f-7cfb-5fcf-a02b-e4e3c4e68cf8,Active,Duplicate: 01t08000008qgxIAAQ
e50c35e1-ac24-53f4-b561-86a1e90ff6b0,Active,Monster has stopped the collaboration with Alma Media.
92012758-3e80-58d8-979d-3a26affa53f8,Active,Monster has stopped the collaboration with Alma Media.
e5651c13-a524-59db-a72e-21ce84b0425b,Active,Monster has stopped the collaboration with Alma Media.
594d72ef-9b07-561d-b50c-9f0d8042646b,Active,"Blacklisted, because we can never reach them."
95b53a00-1db2-55d8-8c86-5dfaea27c38f,Active,"14022020 ML: RC = $295,-; Purchase Price: $250,75"
70b90acb-76bc-5230-8434-979b9c335ed0,Active,"21042020 LT:  ovv Zeno Panhuijzen: Sales voegen dit product toe aan een opportunity in Salesforce en laten die ‘scheduled’ uitvoeren qua bedrag. Hierdoor kan er vooraf vastgelegd worden dat er naar verwachten een kwartaal lang een dagelijks gemiddelde van (bijvoorbeeld) 100,- euro binnenkomt."
11dfa8fe-a1ac-5f43-9e1e-14535f24bc05,Active,27022020 LT: BASF bought the credits. They want this product via VONQ - only handling-fee
